ID,Class,Marker,Name,RuleSyntax,PossibilitySyntax,EnergyRisk,OperationsRisk,Description,PossibleCauses,PossibleSolutions
1,AirCurtain,"hvac,ac,equip",Failed Fan,{{Fan Commanded On}} = 1 AND {{Fan Proof Off}} = 1,{{Fan Commanded On}} = 1 AND {{Fan Proof Exists}} = 1,2,4,"The unit is commanded on but is not running. ","1. Mechanically failed fan
2. Fan locked off by controls
3. Alarm preventing the unit from starting","1. Repair fan
2. Release any locks/overrides
3. Clear alarms"
2,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Cooling Sensor,{{Failed Sensor - Zone Air Cooling Temp}} = 1,{{Zone Air Cooling Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
3,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Heating Sensor,{{Failed Sensor - Zone Air Heating Temp}} = 1,{{Zone Air Heating Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
4,AirCurtain,"hvac,ac,equip",Failed Sensor - Zone Air Temp Sensor,{{Failed Sensor - Zone Air Temp}} = 1,{{Zone Air Temp Exists}} = 1,3,3,"The sensor is reading outside of the expected range. ",1. Sensor out of calibration,1. Recalibrate/replace sensor
5,AirCurtain,"hvac,ac,equip",Fan in Hand,{{Fan Commanded Off}} = 1 AND {{Fan Proof On}} = 1,{{Fan Commanded Off}} = 1 AND {{Fan Proof Exists}} = 1,4,4,"The unit is not being commanded on, but is running. ","1. Unit overridden to run
2. Run sensor reading inaccurately","1. Release override
2. Recalibrate/replace run sensor"
6,AirCurtain,"hvac,ac,equip",Off Hours Operation,{{Unoccupied Hours}} = 1 AND {{Equipment Operating}} = 1,{{Unoccupied Hours}} = 1 AND {{Command OR Proof Exist}} = 1,4,4,"The unit is operating when the spaces it serves are not occupied. ","1. Unit manually overridden to run
2. Scheduling issue","1. Release override
2. Correct scheduling issue"
7,AirHandlingUnit,"hvac,ahu,equip",Cooling Without Operating,{{Equipment Not Operating}} = 1 AND {{Mech Cooling On}} = 1,{{Equipment Not Operating}} = 1 AND {{Mech Cooling Exists}} = 1,4,2,"The unit's cooling coil is open when the discharge fan is not operating. ","1. Valve is manually overridden 
2. Controls issue","1. Release override 
2. Repair controls issue"
8,AirHandlingUnit,"hvac,ahu,equip",Deficit Economizer Operation - Controls,{{Equipment Operating}} = 1 AND (({{Full Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Hot}} = 1 AND {{Outside Air Damper At Minimum}} = 1) OR ({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Outside Air Temp}} = 1 AND {{Outside Air Damper Below Maximum}} = 1)),{{Equipment Operating}} = 1 AND ({{Full Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is not taking full advantage of free cooling due to a controls issue. ","1. Failed sensor 
2. Uncalibrated sensor 
3. Controls issue 
4. Damper is mechanically compromised","1. Replace or recalibrate sensor 
2. Reprogram controls 
3. Repair damper"
9,AirHandlingUnit,"hvac,ahu,equip",Deficit Economizer Operation - Mechanical,{{Equipment Operating}} = 1 AND (({{Full Economizing Capacity}} = 1 AND {{Mixed Air Temp Too Hot}} = 1 AND {{Outside Air Damper At Maximum}} = 1) OR ({{Mixed Economizing Capacity}} = 1 AND {{Mixed Air Temp Above Outside Air Temp}} = 1 AND {{Outside Air Damper At Maximum}} = 1)),{{Equipment Operating}} = 1 AND ({{Full Economizing Capacity}} = 1 OR {{Mixed Economizing Capacity}} = 1) AND {{Mixed Air Temp Exists}} = 1,4,2,"The unit is not taking full advantage of free cooling due to a mechanical issue. ",1. Outside air damper or return air damper is mechanically compromised,1. Repair damper
10,AirHandlingUnit,"hvac,ahu,equip",Economizer Mixed Air Setpoint Coordination,{{Equipment Operating}} = 1 AND {{Air Temp Setpoint Coordination}} = 1,{{Equipment Operating}} = 1 AND {{Mixed Air Temp SP Exists}} = 1 AND {{Discharge Air Temp SP Exists}} = 1,4,2,The unit's mixed air temperature setpoint is higher than its discharge air temperature setpoint.,"1. Controls ",1. Reprogram controls
