model,id,customTags,externalIds,name,uniqueID,externalID,trendID,siteID,connectorID,communication.protocol,communication.API.externalID,communication.BACnet.deviceID,communication.BACnet.objectType,communication.BACnet.objectID,communication.Modbus.dataType,communication.Modbus.registerAddress,communication.Modbus.swap,communication.Modbus.slaveID,communication.Modbus.endian,communication.Modbus.registerType,communication.Modbus.scale,communication.OPCDA.nodeID,communication.OPCUA.nodeID,communication.IoTHub.externalID,description,alternateClassification.projectHaystack,alternateClassification.brickSchema,lastValueTime,unit,validValues.minimum,validValues.maximum,interpolation,totalized,valueExpression,scaleFactor,type,categorizationProperties.HVACMode,categorizationProperties.alarm,categorizationProperties.assetComponent,categorizationProperties.demand,categorizationProperties.effective,categorizationProperties.electricalPhase,categorizationProperties.limit,categorizationProperties.occupancyMode,categorizationProperties.phenomenon,categorizationProperties.position,categorizationProperties.stage,phenomenon,position,assetComponent,hvacMode,stage,occupancyMode,electricalPhase,limit,effective,demand,alarm,tags,trendInterval,displayPriority,enabled,detected,analyticsEnabled
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-1-1-AC_1_1DISABLEEXFLOWTRACK,,,Disable Exhaust Air Flow Tracking Cmd,f61e2644-3d07-4f18-b87e-6584f7a26965,#NAME?,c9b955a9-6fbf-4092-823d-8d4f4e01e1d9,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow disable tracking cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""exhaust"":true,""tracking"":true,""disable"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-1-1-AC_1_1EXAIRFLOWCTLCHOICE,,,Exhaust CVR Air Flow Tracking Mode,7da46ec5-c954-4edf-bbd9-013b38a8dbf0,#NAME?,d11f960a-a005-4468-8a7f-933df00425b0,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow control cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""control"":true,""exhaust"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-1-1-AC_1_1FAILMODE,,,Fan Fail Alarm Sensor,afa449b9-c6c9-4f44-b0c1-bf0994a33bc3,#NAME?,46ee7451-ad3e-4e65-b5dd-9e6aeb14e1b2,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,fan fail action cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""fan"":true,""fail"":true,""action"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-1-1-AC_1_1SCHEDULE,,,On  Base Schedule,2f00dafb-ec70-4cab-916e-cb7e8f8811e1,#NAME?,d3a85971-2f5f-4812-b244-34f3a621b6aa,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,time schedule cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""schedule"":true,""time"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC10_01DHMD_LOCKOUT_TGL_1,,,Dehumidification Lockout Toggle Cmd,b39af505-cac5-4637-a53b-1e187f192a06,#NAME?,6cfc65b4-ad5a-4f74-a436-e27eb6524578,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,dehumidification lockout toggle cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""toggle"":true,""lockout"":true,""dehumidification"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC10_01HGB_VLV_CTL_1_1,,,Hot Gas Bypass Cmd,9fc1f9d1-01a2-4ff6-a268-e6158640317f,#NAME?,c219e2a1-722a-4424-a8eb-652f942f0a53,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,hot gas bypass cmd,,,,%,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""gas"":true},""bypass"":true,""hot"":true",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC10_01SCHEDULE_SCHEDULE_1,,,Time Schedule 1 Cmd,cc0dfa43-9c14-4676-acf2-35d00e656c24,#NAME?,6b9b30ab-bcf5-409a-a787-76df135a0296,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,time schedule 1 cmd,,,,Bool,,,,,,,analog,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""schedule"":true,""time"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC_10_1DISABLEEXFLOWTRACK,,,Disable Exhaust Air Flow Tracking Cmd,8de17fd0-65ab-4505-b80c-0c52b7fafe43,#NAME?,e6057595-26b7-4e89-bd05-4063e5fb6819,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow disable tracking cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""exhaust"":true,""tracking"":true,""disable"":true}",900,,True,,False
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC_10_1EXAIRFLOWCTLCHOICE,,,Exhaust CVR Air Flow Tracking Mode,f04b4233-eb12-4f26-a346-07cbd2b2f6a0,#NAME?,8a08f6ba-b862-4781-8927-c921c40e8da7,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,exhaust air flow control cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""air"":true,""flow"":true,""cmd"":true,""control"":true,""exhaust"":true}",900,,True,,True
dtmi:com:willowinc:Actuator;1,BPY-1MW-AC-10-1-AC_10_1FAILMODE,,,Fan Fail Alarm Sensor,983341b1-75a1-49f3-a013-e8a0d7798ab6,#NAME?,a2c8cb9b-0757-4022-9d0f-4c0c86a4353a,4e5fc229-ffd9-462a-882b-16b4a63b2a8a,a2c0f82f-9559-427b-93a4-68e1db15f3c9,OPC DA,,,,,,,,,,,,,,,fan fail action cmd,,,,Bool,,,,,,,binary,,,,,,,,,,,,,,,,,,,,,,,"{""cmd"":true,""fan"":true,""fail"":true,""action"":true}",900,,True,,False
